time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2024-04-12T08:47:58.178Z,33.5583,81.7575,10,4.70,mb,49,110,6.491,1.1,us,us7000mbm4,2024-04-13T06:11:53.040Z,western Xizang,earthquake,9.09,1.902,0.08,47,reviewed,us,us
2024-04-12T09:18:52.732Z,-3.5182,145.4407,10,4.70,mb,22,139,4.835,0.75,us,us7000mbmb,2024-04-13T08:06:47.040Z,"164 km ENE of Angoram, Papua New Guinea",earthquake,8.35,1.915,0.12,21,reviewed,us,us
2024-04-12T17:07:48.535Z,33.9988,141.7848,23.161,4.70,mb,169,85,1.867,0.47,us,us7000mbqy,2024-04-12T17:56:29.040Z,"185 km SE of Katsuura, Japan",earthquake,7.46,4.902,0.045,158,reviewed,us,us
2024-04-12T22:18:40.733Z,71.5662,-3.1674,10,4.70,mww,121,47,6.213,0.56,us,us7000mbt9,2024-04-12T22:48:26.040Z,"211 km ENE of Olonkinbyen, Svalbard and Jan Mayen",earthquake,7.48,1.876,0.083,14,reviewed,us,us
2024-04-13T09:10:49.672Z,11.8716,125.7685,40.471,4.70,mb,69,128,4.775,0.64,us,us7000mbvk,2024-04-13T10:02:00.040Z,"34 km E of Sulat, Philippines",earthquake,11.32,7.57,0.073,57,reviewed,us,us
2024-04-13T10:37:54.286Z,34.0384,-177.0026,10,4.70,mb,167,61,5.813,0.65,us,us7000mbw0,2024-04-13T14:16:15.040Z,North Pacific Ocean,earthquake,11.31,1.857,0.036,238,reviewed,us,us
2024-04-13T12:38:48.495Z,23.6689,121.6218,9.769,4.70,mb,72,83,0.406,0.71,us,us7000mbwf,2024-04-13T14:19:32.040Z,"34 km S of Hualien City, Taiwan",earthquake,5.62,5.249,0.075,54,reviewed,us,us
2024-04-13T14:26:36.159Z,23.9705,121.5842,16.688,4.70,mb,31,76,0.605,0.97,us,us7000mbwq,2024-04-14T11:21:43.792Z,"2 km WSW of Hualien City, Taiwan",earthquake,3.86,5.221,0.085,42,reviewed,us,us
2024-04-14T23:29:05.423Z,11.0588,-86.9377,10,4.70,mb,40,149,1.277,1.1,us,us7000mc41,2024-04-14T23:51:14.040Z,"92 km SSW of Masachapa, Nicaragua",earthquake,6.25,1.913,0.039,195,reviewed,us,us
2024-04-15T06:06:29.239Z,34.1498,26.1818,26.793,4.70,mb,87,75,1.556,0.55,us,us7000mc4w,2024-04-15T14:57:27.040Z,"103 km SSE of Ierápetra, Greece",earthquake,6.46,5.477,0.039,196,reviewed,us,us
2024-04-17T13:52:46.581Z,26.2528,-110.6212,9.764,4.70,mww,119,187,1.796,0.61,us,us7000mcpe,2024-04-17T18:19:33.921Z,"77 km ENE of Loreto, Mexico",earthquake,10.87,6.489,0.071,19,reviewed,us,us
2024-04-18T14:05:08.789Z,15.7795,146.8672,35.878,4.70,mb,27,140,1.169,0.85,us,us7000mcx6,2024-04-18T14:22:15.040Z,"134 km ENE of Saipan, Northern Mariana Islands",earthquake,5.16,7.795,0.079,48,reviewed,us,us
2024-04-14T05:31:49.869Z,19.8735,121.4726,42.997,4.80,mb,77,110,2.952,0.75,us,us7000mc02,2024-04-17T09:40:13.329Z,"82 km SW of Basco, Philippines",earthquake,10.22,7.346,0.05,124,reviewed,us,us
2024-04-14T19:14:58.428Z,13.9522,-91.1647,80.996,4.80,mb,64,140,0.714,0.7,us,us7000mc2f,2024-04-17T13:57:47.304Z,"18 km SW of La Gomera, Guatemala",earthquake,5.99,5.869,0.029,365,reviewed,us,us
